472 items,,,,,,,
Item,Tier,Icon,Effect,Unlock condition,,,
Dead Crow,-7,,"Must be equipped
Start of turn 1: I die",None,,Tier,Number of item(s)
Amnesia,-4,,"Must be equipped
Replace all sides with 'blank'",None,,-50,1
Backstab,-4,,"Must be equipped
Replace the middle four sides with '4 damage to an ally mandatory generous stasis'",None,,-7,1
Empathy,-4,,"Must be equipped
When an enemy dies, i die",None,,-4,3
Broken Spirit,-2,,"Must be equipped
Immune to healing
Immune to shields",None,,-2,9
Compulsion,-2,,"Must be equipped
Add mandatory and pain to all sides",None,,-1,13
Conscience,-2,,"Must be equipped
When an enemy dies, 1 self damage",None,,0,74
Exhaustion,-2,,"Must be equipped
Add exert to all sides",None,,1,48
Parasite,-2,,"Must be equipped
Set starting hp to 1",None,,2,45
Pharaoh Curse,-2,,"Must be equipped
-1 pip to all sides",None,,3,39
Slimed,-2,,"Must be equipped
Add 'sticky' to all sides",None,,4,48
Soul Link,-2,,"Must be equipped
When an ally dies, you die","Complete ""Encumbered"" achievement",,5,36
Wretched Crown,-2,,"Must be equipped
Upon death: kill all allies",None,,6,37
Affliction,-1,,"Must be equipped
Add pain to the two left sides",None,,7,30
Barrel Hoops,-1,,"Must be equipped
5 damage to adjacent allies upon death",None,,8,26
Brittle,-1,,"Must be equipped
Death is permanent",None,,9,16
Broken Heart,-1,,"Must be equipped
Immune to healing",None,,10,8
Coiled Snake,-1,,"Must be equipped
Start poisoned",None,,11,8
Cursed Bolt,-1,,"Must be equipped
After an ability is used, 1 self damage","Complete ""Cursed Bolt"" achievement",,12,6
D4,-1,,"Must be equipped
Replace the right side with '1 self damage cantrip'",None,,13,4
Handcuffs,-1,,"Must be equipped
-1 item slot",None,,14,6
Lead Weight,-1,,"Must be equipped
Replace the top and bottom sides with 'blank'",None,,15,7
Martyr,-1,,"Must be equipped
Add death & +2 pips to the two left sides","Complete ""Encumbered"" achievement",,16,5
Mould,-1,,"Must be equipped
Add decay to all sides",None,,17,3
Tracked,-1,,"Must be equipped
Upon death: summon a wolf",None,,,
Weariness,-1,,"Must be equipped
Add exert to the two left sides",None,,,
Atlas Stone,0,,"+1 pip to the top and bottom sides
-2 item slots",None,,,
Banana Peel,0,,Replace the two right sides with 'Add cantrip to target's sides this turn',None,,,
Bent Fork,0,,x1 the pips of the two right sides,"Complete ""I wish I could undo this achievement"" achievement",,,
Bent Spoon,0,,+0 pips of the two left sides,"Complete ""Snake-eyes"" achievement",,,
Bent Spork,0,,x-1 the pips of the middle column,None,,,
Big Fish,0,,Add vitality to all damage sides,None,,,
Bond Certificate,0,,The 15th turn: +15 pips on all sides,"Complete ""I wish I could undo this achievement"" achievement",,,
Brick,0,,Add petrify to all basic shield sides,None,,,
Burred Shield,0,,Replace the left side with 'Shield 5 pain',None,,,
Camomile,0,,Remove cantrip from all sides,None,,,
Can,0,,Add century to the two right sides,None,,,
Card,0,,Add inflictinflictnothing to the two right sides,None,,,
Chalk,0,,Replace curse blank sides with '3 mana death',None,,,
Cholesterol,0,,"+5 empty max hp
Immune to healing",None,,,
Cigarette end,0,,Add doubleUse to all singleUse sides,None,,,
Cracked Emerald,0,,Gain the effects of all tier 12 items on other heroes,"Complete ""Emerald Mirror-Pick"" achievement",,,
Cracked Phylactery,0,,"Add selfheal to the two left sides
-6 max hp","Complete ""Pocket Phylactery-Pick"" achievement",,,
Cyanide Pill,0,,Add cantrip & death to the two right sides,None,,,
Dead Branch,0,,Replace the bottom side with '1 damage singleUse',None,,,
Dull Wit,0,,"Replace mana/manaGain sides with 'basic damage' sides, retaining their original pips and other
keywords",None,,,
Dusty Emerald,0,,Gain the effects of all tier 0 items on other heroes,None,,,
Extra Pocket,0,,+1 item slot (max 4),None,,,
False Idol,0,,+1 max hp for each 'z' in my name,None,,,
Fidget Spinner,0,,Replace the middle side with 'Target hero can use their dice again duplicate',"Complete ""I wish I could undo this achievement"" achievement",,,
Flea,0,,Add pain & +1 pip to all sides with exactly 0 pips,"Complete ""I wish I could undo this achievement"" achievement",,,
Fly,0,,Add growth & decay to the left side,None,,,
Grass,0,,Replace blank sides with 'blank (petrified)',"Complete ""I wish I could undo this achievement"" achievement",,,
Hidden Strength,0,,Replace the bottom side with '10 damage to all enemies manacost',"Complete ""I wish I could undo this achievement"" achievement",,,
Huge Scabbard,0,,+1 pip to all sides with exactly 10 pips,None,,,
Idol of Pythagoras,0,,+1 max hp for each number in my name,None,,,
