191 keywords,,,,
Keyword,Keyword Color,Icon,Effect,Note
acidic,green,,+1 pip for each poison on me,
affected,purple,,+1 pip for each 'thing' affecting me,
alliteration,light,,"x2 vs targets with the same first letter as me 
(Case-sensitive)",
annul,grey,,targets lose all keywords this turn,
antiDeathwish,purple,,x2 except if I am dying this turn,x2 if I am not dying this turn
antiDog,yellow,,x2 except vs targets with equal hp to me,x2 vs targets not equal hp to me
antiEngage,yellow,,x2 except vs targets with full hp,x2 vs targets that aren't at full hp
antiPair,light,,x2 except if this has the same pips as the previous dice this turn,x2 if this has different pips as the previous dice this turn
antiPristine,light,,x2 except if I have full hp,x2 if I am not at full hp
armoured,light,,x2 if I have shields,
bloodlust,red,,bonus equal to the number of damaged enemies,
boned,light,,Summon a bones,
boost,blue,,target gets +N to all sides this turn,
buffed,light,,+1 pip for each buff I have,
bully,orange,,x2 if I have the most hp of all,
cantrip,pink,,activates during rolling if it lands face-up,"Whilst rolling dice, if this side lands face-up, it gets used instantly without taking up that hero's turn. Target chosen randomly. If you have a cantrip heal/shield, it will only target heroes who are missing hp/taking damage. You can still reroll it and use it as normal"
century,grey,,x2 vs targets with 100+ hp,
chain,pink,,x2 if this shares a keyword with the previous dice this turn,
channel,green,,costs -1 mana each time it is cast (minimum 1),
charged,blue,,+1 pip for each stored mana,
cleanse,light,,reduce target's negative effects by N ,"Negative effects: poisoned, weakened, petrified and inflicted. Can cleanse incoming negative effects. Always cleanse current negative effects before incoming negative effects"
cleave,light,,also hits both sides of the target,
cooldown,orange,,can only be cast once each turn,
copycat,light,,copy the keywords from the previous dice this turn,
critical,yellow,,"50% chance for +1, rechecks each turn",
cruel,orange,,x2 vs targets on half or less hp,
cruesh,orange,,"If cruel's condition is met, gain the effects of flesh",+1 pip for each hp I have vs targets on half or less hp
damage,orange,,damage the target for N,
death,light,,I die,everyone has to some day
deathlust,purple,,"If deathwish's condition is met, gain the effects of bloodlust",bonus equal to the number of damaged enemies if I am dying this turn
deathwish,purple,,x2 if I am dying this turn,
decay,purple,,gets -1 this fight after use,
defy,yellow,,+1 pip for each incoming damage,
dejavu,pink,,copy the keywords from the sides I used last turn,
deplete,orange,,costs +1 mana each time it is cast,
descend,light,,also hits below the target,
dispel,pink,,Remove all traits from the target this fight,"Only remove innate traits, traits from modifiers/items will not be removed. Abilities counts as trait"
dog,yellow,,x2 vs targets with equal hp to me,
dogma,yellow,,Only pips change when the side is replaced,
doubDiff,yellow,,doubled pip delta,Everything that give +N pips will now give +2N pips and vice versa
doublegrowth,green,,Like growth but activates twice,gets +2 this fight after use
doubled,blue,,Other keywords see colored N as 2N,
doubleUse,orange,,can be used twice in a turn,
duegue,blue,,"If duel's condition is met, gain the effects of plague",+1 pip for each poison on all characters vs those targeting me this turn
duel,blue,,x2 vs those targeting me this turn,
duplicate,blue,,copy this onto all allied sides this turn,
echo,blue,,copy the pips of previous dice this turn,
ego,yellow,,x2 vs myself,
eliminate,red,,target must have the least hp,"Does not take back-row enemies into account, unless the side also has ranged"
enduring,grey,,keywords remain when the side is changed (if possible),
engage,yellow,,x2 vs targets with full hp,
engarged,yellow,,"If engage's condition is met, gain the effects of charged",+1 pip for each stored mana vs targets with full hp
engine,yellow,,x4 if the conditions of both engage and pristine are met,x4 vs targets with full hp if I have full hp
equipped,grey,,+1 pip for each item I have equipped,
era,blue,,+1 pip for each elapsed turn,
evil,red,,"if this saves a hero, I die",
exert,purple,,replace all sides with blanks (exerted) until the end of next turn,
fashionable,blue,,bonus pips equal to the total tier of all items I have equipped,
fault,blue,,Other keywords see colored N as -1,
fierce,yellow,,target flees if they have N or less hp,Also works on heal/shield sides. Fled heroes come back next fight with full hp
first,light,,x2 if no dice have been used this turn,
fizz,blue,,+1 pip for each ability used this turn,
flesh,red,,+1 pip for each hp I have,
fluctuate,blue,,"changes to a random side each turn, retaining keywords and pips",
flurry,orange,,+1 pip for each time I have been used this turn,
focus,orange,,x2 vs the target of the previous dice this turn,
fumble,grey,,50% chance to be blank each turn,
future,blue,,effect is delayed until the start of next turn,
generous,light,,cannot target myself,
groooooowth,green,,"After use, all my sides get +1 this fight after use",
groupDecay,purple,,The keyword 'decay' activates for all allies,"When a character use a dice with this keyword, they and their allies will get -1 to the dice face that has the same position as the user"
groupExert,purple,,The keyword 'exert' activates for all allies,"When a character use a dice with this keyword, they and their allies will be exerted"
groupGroooooowth,green,,The keyword 'groooooowth' activates for all allies,"When a character use a dice with this keyword, they and their allies will get +1 to all sides"
groupGrowth,green,,The keyword 'growth' activates for all allies,"When a character use a dice with this keyword, they and their allies will get +1 to the dice face that has the same position as the user"
groupSingleUse,orange,,The keyword 'singleUse' activates for all allies,"When a character use a dice with this keyword, they and their allies' dice face that has the same position as the user will be replaced by blank (used)"
growth,green,,gets +1 this fight after use,
guilt,orange,,"if this is lethal, I die",
halveDeathwish,purple,,x0.5 (rounded down) if I am dying this turn,
halveDuel,blue,,x0.5 (rounded down) vs those targeting me this turn,
